quizcode,quizname,qid,topic,question,response_type,correct
w10.1,W10-1: Universals and variatio,q1,universals_variation,"Although languages around the world look very different, there are some universal properties that all languages share.",agree-scale,
w10.1,W10-1: Universals and variatio,q2,universals_variation,Languages around the world are more similar to each other than they are different.,agree-scale,
w10.1,W10-1: Universals and variatio,q3,universals_variation,Differences between languages can usually be explained by cultural differences.,agree-scale,
w10.1,W10-1: Universals and variatio,q4,universals_variation,It is inevitable that languages change over time.,agree-scale,
w10.1,W10-1: Universals and variatio,q5,universals_variation,"If people speaking a certain language had no contact with any other languages (say, if they lived on an isolated island), their language would never change.",agree-scale,
w10.1,W10-1: Universals and variatio,q6,universals_variation,"Although there are many, many different possible grammars, all these possibilities can be expressed as a combination of a few (40-50) binary choices.",agree-scale,
w10.1,W10-1: Universals and variatio,q7,learning,Children's errors are almost always consistent with the grammar of some other language.,agree-scale,
w10.1,W10-1: Universals and variatio,q8,learning,"Some of children's errors are due to physical limitations or limited resources, rather than the wrong grammar.",agree-scale,
w10.2,W10-2: Reading,q1,check-in,How comprehensible did you find the reading?,multi_choice,
w13.1,W13-1: Wrap-up,q1,goals,How confident are you that you can: describe different stages of language development?,learning-confidence-scale,
w13.1,W13-1: Wrap-up,q2,goals,"How confident are you that you can:
analyze the phonological, syntactic, and semantic properties of utterances?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q3,goals,"How confident are you that you can:
recognize interesting language and speech phenomena in everyday conversation?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q4,goals,"How confident are you that you can:
explain how language is a product of both ""nature"" and ""nurture"", and how we know?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q5,goals,"How confident are you that you can:
describe experimental techniques we can use to investigate what infants know?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q6,goals,"How confident are you that you can:
discuss the role of parents and other caregivers in children's language development?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q7,goals,"How confident are you that you can:
explian what you've learned about language and child development to people with no backgroun in linguistics or science?",learning-confidence-scale,
w13.1,W13-1: Wrap-up,q8,milestones,Around what age do children start saying their first words? (Be sure to indicate months or years.),free,
w13.1,W13-1: Wrap-up,q9,milestones,Around what age can children say about 1000 words? (Be sure to indicate months or years.),free,
w13.1,W13-1: Wrap-up,q10,milestones,Around what age have children mastered most of the grammar of their first language? (Be sure to indicate months or years.),free,
w13.1,W13-1: Wrap-up,q11,learning,Some languages are easier to learn than others.,tf-scale,
w13.1,W13-1: Wrap-up,q12,learning,Infants are born with the ability ot learn any language if they are exposed to it: race and ethnicity play no role.,tf-scale,
w13.1,W13-1: Wrap-up,q13,learning,Talking to children in ñbaby talkî slows down language development.,tf-scale,
w13.1,W13-1: Wrap-up,q14,learning,ItÍs important to correct childrenÍs errors when they say things like ñme like bananasî or ñthe dog eatedî.,tf-scale,
w13.1,W13-1: Wrap-up,q15,learning,Children learn to speak by copying what they hear from people around them.,tf-scale,
w13.1,W13-1: Wrap-up,q16,learning,Parents must take an active role in teaching their children language: babies canÍt learn on their own!,tf-scale,
w13.1,W13-1: Wrap-up,q17,learning,Kindergarten and elementary school teachers are responsible for teaching children how to speak their language.,tf-scale,
w13.1,W13-1: Wrap-up,q18,learning,Children tend to learn language faster when their parents talk to them more.,tf-scale,
w13.1,W13-1: Wrap-up,q19,learning,Children can learn language just as well from TV.,tf-scale,
w13.1,W13-1: Wrap-up,q20,learning,Children pick up their first language on their own by listening to people talk. They donÍt need any teaching from their parents or in school.,tf-scale,
w13.1,W13-1: Wrap-up,q21,grammar_beliefs,"In casual conversation, people don't follow any particular rules of sentence structure.",tf-scale,
w13.1,W13-1: Wrap-up,q22,grammar_beliefs,"The ""proper"" grammar that you learn in school helps make language more logical and less redundant.",tf-scale,
w13.1,W13-1: Wrap-up,q23,grammar_beliefs,"The rules of natural language are simpler than the rules of ""proper"" or written language.",tf-scale,
w13.1,W13-1: Wrap-up,q24,grammar_beliefs,"Some languages have strict rules of grammar, while others are less rigid.",tf-scale,
w13.1,W13-1: Wrap-up,q25,grammar_beliefs,Languages change over time to become less formal.,tf-scale,
w13.1,W13-1: Wrap-up,q26,linguistic_determinism,Some languages express certain concepts more efficiently than others.,tf-scale,
w13.1,W13-1: Wrap-up,q27,linguistic_determinism,"Although languages have different words and structures, they can all express ideas equally well.",tf-scale,
w13.1,W13-1: Wrap-up,q28,linguistic_determinism,"Some languages might lack a word for a particular concept, and thus be unable to express that concept.",tf-scale,
