"quizcode","quizname","qid","question"
"w10.1","W10-1: Universals and variatio","q1","Although languages around the world look very different, there are some universal properties that all languages share."
"w10.1","W10-1: Universals and variatio","q2","Languages around the world are more similar to each other than they are different."
"w10.1","W10-1: Universals and variatio","q3","Differences between languages can usually be explained by cultural differences."
"w10.1","W10-1: Universals and variatio","q4","It is inevitable that languages change over time."
"w10.1","W10-1: Universals and variatio","q5","If people speaking a certain language had no contact with any other languages (say, if they lived on an isolated island), their language would never change."
"w10.1","W10-1: Universals and variatio","q6","Although there are many, many different possible grammars, all these possibilities can be expressed as a combination of a few (40-50) binary choices."
"w10.1","W10-1: Universals and variatio","q7","Children's errors are almost always consistent with the grammar of some other language."
"w10.1","W10-1: Universals and variatio","q8","Some of children's errors are due to physical limitations or limited resources, rather than the wrong grammar."
"w10.2","W10-2: Reading","q1","How comprehensible did you find the reading?"
"w13.1","W13-1: Wrap-up","q1","The first few questions are about how much you feel you've learned about the things I hoped you would learn about. 

How confident are you that you can:
describe different stages of language development?"
"w13.1","W13-1: Wrap-up","q2","How confident are you that you can:
analyze the phonological, syntactic, and semantic properties of utterances?"
"w13.1","W13-1: Wrap-up","q3","How confident are you that you can:
recognize interesting language and speech phenomena in everyday conversation?"
"w13.1","W13-1: Wrap-up","q4","How confident are you that you can:
explain how language is a product of both ""nature"" and ""nurture"", and how we know?"
"w13.1","W13-1: Wrap-up","q5","How confident are you that you can:
describe experimental techniques we can use to investigate what infants know?"
"w13.1","W13-1: Wrap-up","q6","How confident are you that you can:
discuss the role of parents and other caregivers in children's language development?"
"w13.1","W13-1: Wrap-up","q7","How confident are you that you can:
explian what you've learned about language and child development to people with no backgroun in linguistics or science?"
"w13.1","W13-1: Wrap-up","q8","Around what age do children start saying their first words? (Be sure to indicate months or years.)"
"w13.1","W13-1: Wrap-up","q9","Around what age can children say about 1000 words? (Be sure to indicate months or years.)"
"w13.1","W13-1: Wrap-up","q10","Around what age have children mastered most of the grammar of their first language? (Be sure to indicate months or years.)"
"w13.1","W13-1: Wrap-up","q11","Some languages are easier to learn than others."
"w13.1","W13-1: Wrap-up","q12","Infants are born with the ability ot learn any language if they are exposed to it: race and ethnicity play no role."
"w13.1","W13-1: Wrap-up","q13","Talking to children in “baby talk” slows down language development."
"w13.1","W13-1: Wrap-up","q14","It’s important to correct children’s errors when they say things like “me like bananas” or “the dog eated”."
"w13.1","W13-1: Wrap-up","q15","Children learn to speak by copying what they hear from people around them."
"w13.1","W13-1: Wrap-up","q16","Parents must take an active role in teaching their children language: babies can’t learn on their own!"
"w13.1","W13-1: Wrap-up","q17","Kindergarten and elementary school teachers are responsible for teaching children how to speak their language."
"w13.1","W13-1: Wrap-up","q18","Children tend to learn language faster when their parents talk to them more."
"w13.1","W13-1: Wrap-up","q19","Children can learn language just as well from TV."
"w13.1","W13-1: Wrap-up","q20","Children pick up their first language on their own by listening to people talk. They don’t need any teaching from their parents or in school."
